component_id,component_type,package_path,manifest_path,integrity_readback_before_node_execution,runtime_contract_complete,k_app_files_complete,shipping_state,target_gate_state,overall_runtime_state,capabilities,fallback_adapter,reason
kex.workstation.core,APPLICATION,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/kex_workstation_core,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/kex_workstation_core/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,workstation_shell;application_catalog;runtime_projection,adapter.static-local-launcher,integrity_readback_passed
orphan_service_reconciler,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/orphan_service_reconciler,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/orphan_service_reconciler/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,orphan_service_reconciler;virtual_cpu,adapter.local-static-applet,integrity_readback_passed
mirror_update_lane,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/mirror_update_lane,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/mirror_update_lane/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,mirror_update_lane;virtual_cpu_vfs_mirror,adapter.local-static-applet,integrity_readback_passed
agent_registry_service,SERVICE,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_registry_service,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_registry_service/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,agent_registry_service;virtual_cpu_governance_plane,adapter.local-static-applet,integrity_readback_passed
agent_runtime_service,SERVICE,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_runtime_service,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/agent_runtime_service/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,agent_runtime_service;virtual_cpu_execution_plane,adapter.local-static-applet,integrity_readback_passed
btc_core_protocol_router,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/btc_core_protocol_router,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/btc_core_protocol_router/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,btc_core_protocol_router;virtual_cpu_network_adapter,adapter.read-only-local-p2p-framer,integrity_readback_passed
task_milestone_monitor,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/task_milestone_monitor,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/task_milestone_monitor/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,task_milestone_monitor;virtual_cpu_worker_governance,adapter.local-static-applet,integrity_readback_passed
workflow_schema_guard,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/workflow_schema_guard,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/workflow_schema_guard/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,workflow_schema_guard;virtual_cpu_delivery_governance,adapter.local-static-applet,integrity_readback_passed
software_design_deployment_workflow,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/software_design_deployment_workflow,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/software_design_deployment_workflow/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,software_design_deployment_workflow;virtual_cpu_delivery_governance,adapter.local-static-applet,integrity_readback_passed
test_runner,SERVICE,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/test_runner,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/test_runner/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,test_runner;virtual_cpu_verification_plane,adapter.local-static-applet,integrity_readback_passed
dependency_failure_orchestrator,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/dependency_failure_orchestrator,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/dependency_failure_orchestrator/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,dependency_failure_orchestrator;virtual_cpu_resilience_plane,adapter.local-static-applet,integrity_readback_passed
k_cloud_adapter,APPLICATION,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/k_cloud_adapter,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/k_cloud_adapter/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,k_cloud_adapter;virtual_cpu_deployment_plane,adapter.local-static-applet,integrity_readback_passed
failure_ledger,SERVICE,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/failure_ledger,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/failure_ledger/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,failure_ledger;vfs_resilience_plane,adapter.local-static-applet,integrity_readback_passed
health_state_monitor,SERVICE,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/health_state_monitor,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/health_state_monitor/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,health_state_monitor;virtual_cpu_health_plane,adapter.local-static-applet,integrity_readback_passed
application_applet_packager,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/application_applet_packager,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/application_applet_packager/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,application_applet_packager;virtual_cpu_application_shipping_plane,adapter.local-static-applet,integrity_readback_passed
deployment_maturity_workplan,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/deployment_maturity_workplan,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/deployment_maturity_workplan/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,deployment_maturity_workplan;virtual_cpu_release_governance_plane,adapter.local-static-applet,integrity_readback_passed
current_state_surface_auditor,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/current_state_surface_auditor,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/current_state_surface_auditor/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,current_state_surface_auditor;virtual_cpu_current_state_audit_plane,adapter.local-static-applet,integrity_readback_passed
evidence_context_resolver,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/evidence_context_resolver,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/evidence_context_resolver/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,evidence_context_resolver;virtual_cpu_evidence_reasoning_plane,adapter.local-static-applet,integrity_readback_passed
semantic_knowledge_graph,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/semantic_knowledge_graph,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/semantic_knowledge_graph/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,semantic_knowledge_graph;virtual_cpu_semantic_governance_plane,adapter.local-static-applet,integrity_readback_passed
four_plane_context_framework,APPLET,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/four_plane_context_framework,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/k_app_packages/application_applet_shipping/four_plane_context_framework/k-app.manifest.json,True,True,True,LOCAL_SHIPPABLE_K_APP,TARGET_HOST_REQUIRED,OPERATIONAL_DEGRADED,four_plane_context_framework;virtual_cpu_context_governance_plane,adapter.local-static-applet,integrity_readback_passed
