service_id,owner_plane,promotion_state,executed,probe_name,evidence_path,outbox_manifest,boundary,recognize,execute,verify,write_receipt,readback,handoff
workflow_schema_guard,virtual_cpu_delivery_governance,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/workflow_schema_guard.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/workflow_schema_guard.handoff.json,"validates work item, slug, branch, PR title, commit, label, RFC3339 and SemVer conventions; naming compliance is traceability support, not execution proof",true,false,false,true,true,true
software_design_deployment_workflow,virtual_cpu_delivery_governance,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/software_design_deployment_workflow.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/software_design_deployment_workflow.handoff.json,"executes the design-to-deployment lifecycle as receipt-backed phases; documentation, telemetry, manifests, hashes and dashboards are not completion by themselves",true,false,false,true,true,true
test_runner,virtual_cpu_verification_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/test_runner.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/test_runner.handoff.json,"executes pytest-style plain functions and records TestCase coverage gaps; tests must execute, not merely exist",true,false,false,true,true,true
dependency_failure_orchestrator,virtual_cpu_resilience_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/dependency_failure_orchestrator.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/dependency_failure_orchestrator.handoff.json,"classifies blocked dependencies, isolates failure domains, preserves unaffected runtimes, emits bounded task packets and prevents dependency failure from becoming global runtime failure unless a proven invariant would be violated",true,false,false,true,true,true
k_cloud_adapter,virtual_cpu_deployment_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/k_cloud_adapter.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/k_cloud_adapter.handoff.json,"converts Vite/application output into an immutable K-APP package, performs manifest integrity readback before node execution, activates dependency policies and emits K-Cloud deployment receipts",true,false,false,true,true,true
failure_ledger,vfs_resilience_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/failure_ledger.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/failure_ledger.handoff.json,"records and categorizes dependency failures, continuation workflows, recovery conditions and deferred-work reconciliation without converting dependency failure into global runtime failure",true,false,false,true,true,true
health_state_monitor,virtual_cpu_health_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/health_state_monitor.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/health_state_monitor.handoff.json,observes registered mesh nodes and projects capability-specific degraded UI state while preserving healthy runtime domains,true,false,false,true,true,true
application_applet_packager,virtual_cpu_application_shipping_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/application_applet_packager.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/application_applet_packager.handoff.json,"assesses every module as application/applet/service/runtime domain, generates local K-APP packages, performs manifest integrity readback before node execution and emits catalog, matrix, receipt and outbox handoff without treating target-host gates as global failure",true,false,false,true,true,true
deployment_maturity_workplan,virtual_cpu_release_governance_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/deployment_maturity_workplan.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/deployment_maturity_workplan.handoff.json,"identifies issues, corrective workflows and pending workloads for every module and emits executable work packets for local shipping, target-host proof, provider proof and release splitting without using simulation or telemetry as deployment proof",true,false,false,true,true,true
current_state_surface_auditor,virtual_cpu_current_state_audit_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/current_state_surface_auditor.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/current_state_surface_auditor.handoff.json,"audits current desktop, emulator, server, hardware abstraction and agent surfaces against shippable K-APP and receipt-backed deployment criteria; action history, random telemetry and UI wiring are diagnostic inputs only, not proof",true,false,false,true,true,true
evidence_context_resolver,virtual_cpu_evidence_reasoning_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/evidence_context_resolver.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/evidence_context_resolver.handoff.json,"implements S=f(I,V,O,E,X,R,L), preserves invariants and variants, and prevents single signals such as Math.random, ONLINE, ATTESTED, TPU, quantum core or simulated from becoming terminal judgements without contextual readback",true,false,false,true,true,true
semantic_knowledge_graph,virtual_cpu_semantic_governance_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/semantic_knowledge_graph.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/semantic_knowledge_graph.handoff.json,"turns words, expressions, services, code bindings, transitions and receipts into an executable knowledge graph so implementations can explain their meaning, authority, sector, service and evidence lineage",true,false,false,true,true,true
four_plane_context_framework,virtual_cpu_context_governance_plane,UNSUPPORTED_IN_THIS_RUNTIME,false,unregistered_probe,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/evidence/service_probes/four_plane_context_framework.json,/home/runner/work/BRAINK/BRAINK/v98_protocol_compliance_config/runtime_volume/outbox/service_probes/four_plane_context_framework.handoff.json,"preserves separate I,V,O,E,X,R,L for output, thinking, legal perspective and software service planes and prevents cross-plane inheritance such as software tests becoming legal conclusions or polished output becoming reasoning proof",true,false,false,true,true,true
